"FULLADDR","BLOCKLOT","Ownership","Orig_Criteria","Current_Criteria","VRPA"
"1119 W LOMBARD ST","0250 049","City","In Rem Eligible VBN","In Rem Eligible VBN","Southwest Partnership IIA"
"114 S ARLINGTON AVE","0250 065","Private","VBNs with open permits for increment","Tranche Zero permits expired","Southwest Partnership IIA"
"1108 HARLEM AVE","0103 024","Private","VBNs with open permits for increment","Tranche Zero permits expired","Harlem Park"
"1104 HARLEM AVE","0103 026","Private","MCC-owned VBN","MCC-owned VBN","Harlem Park"
"1317 VALLEY ST","1144 009","City","MCC-owned VBN","MCC-owned VBN","Johnston Square IIA"
"1319 VALLEY ST","1144 010","City","MCC-owned VBN","MCC-owned VBN","Johnston Square IIA"
"1325 VALLEY ST","1144 013","Private","Vacant Buildings Necessary for Development Project","Vacant Buildings Necessary for Development Project","Johnston Square IIA"
"1329 VALLEY ST","1144 015","Private","Vacant Buildings Necessary for Development Project","Vacant Buildings Necessary for Development Project","Johnston Square IIA"
"1308 ENSOR ST","1144 044","City","MCC-owned VBN","MCC-owned VBN","Johnston Square IIA"
"910 E PRESTON ST","1144 059","City","Vacant Buildings Necessary for Development Project","Vacant Buildings Necessary for Development Project","Johnston Square IIA"
"1302 AISQUITH ST","1145 017","Private","VBNs with open permits for increment","Tranche Zero permits expired","Oliver Strategic Blocks"
"1308 AISQUITH ST","1145 020","City","In Rem Eligible VBN","In Rem Eligible VBN","Oliver Strategic Blocks"
"1310 AISQUITH ST","1145 021","City","In Rem Eligible VBN","In Rem Eligible VBN","Oliver Strategic Blocks"
"1316 AISQUITH ST","1145 024","City","In Rem Eligible VBN","In Rem Eligible VBN","Oliver Strategic Blocks"
"917 HARLEM AVE","0116 031","Private","Vacant Buildings Necessary for Development Project","Vacant Buildings Necessary for Development Project","Harlem Park"
"919 HARLEM AVE","0116 032","Private","Vacant Buildings Necessary for Development Project","Vacant Buildings Necessary for Development Project","Harlem Park"
"921 HARLEM AVE","0116 033","Private","Vacant Buildings Necessary for Development Project","Vacant Buildings Necessary for Development Project","Harlem Park"
"923 HARLEM AVE","0116 034","Private","Vacant Buildings Necessary for Development Project","Vacant Buildings Necessary for Development Project","Harlem Park"
"925 HARLEM AVE","0116 035","Private","Vacant Buildings Necessary for Development Project","Vacant Buildings Necessary for Development Project","Harlem Park"
"936 HARLEM AVE","0104 035","Private","MCC-owned VBN","MCC-owned VBN","Harlem Park"
"926 HARLEM AVE","0104 040","City","MCC-owned VBN","MCC-owned VBN","Harlem Park"
"1622 W SARATOGA ST","0150 048","Private","VBNs with open permits for increment","Tranche Zero permits expired","Southwest Partnership IIA"
"1616 W SARATOGA ST","0150 051","Private","VBNs with open permits for increment","Tranche Zero permits expired","Southwest Partnership IIA"
"1309 VALLEY ST","1144 005","Private","Vacant Buildings Necessary for Development Project","Vacant Buildings Necessary for Development Project","Johnston Square IIA"
"1306 W PRATT ST","0248 040","City","MCC-owned VBN","MCC-owned VBN","Southwest Partnership IIA"
"106 S CAREY ST","0248 055","Private","In Rem Eligible VBN","In Rem Eligible VBN","Southwest Partnership IIA"
"223 S VINCENT ST","0262 079","City","In Rem Eligible VBN","In Rem Eligible VBN","Southwest Partnership IIA"
"229 S VINCENT ST","0262 082","City","In Rem Eligible VBN","In Rem Eligible VBN","Southwest Partnership IIA"
"210 S VINCENT ST","0262 092","City","In Rem Eligible VBN","In Rem Eligible VBN","Southwest Partnership IIA"
"206 S VINCENT ST","0262 094","City","In Rem Eligible VBN","In Rem Eligible VBN","Southwest Partnership IIA"
"730 E PRESTON ST","1142B028","Private","MCC-owned VBN","MCC-owned VBN","Johnston Square IIA"
"1314 HOMEWOOD AVE","1142B042","City","Vacant Buildings Necessary for Development Project","Vacant Buildings Necessary for Development Project","Johnston Square IIA"
"1316 HOMEWOOD AVE","1142B043","City","MCC-owned VBN","MCC-owned VBN","Johnston Square IIA"
"1318 HOMEWOOD AVE","1142B044","City","MCC-owned VBN","MCC-owned VBN","Johnston Square IIA"
"1302 VALLEY ST","1143 036","City","MCC-owned VBN","MCC-owned VBN","Johnston Square IIA"
"1308 VALLEY ST","1143 039","City","In Rem Eligible VBN","In Rem Eligible VBN","Johnston Square IIA"
"1310 VALLEY ST","1143 040","City","MCC-owned VBN","MCC-owned VBN","Johnston Square IIA"
"1314 MCHENRY ST","0265 055","City","In Rem Eligible VBN","In Rem Eligible VBN","Southwest Partnership IIA"
"1312 MCHENRY ST","0265 056","City","In Rem Eligible VBN","In Rem Eligible VBN","Southwest Partnership IIA"
"1324 W PRATT ST","0248 031","Private","VBNs with open permits for increment","Tranche Zero permits expired","Southwest Partnership IIA"
"548 MCMECHEN ST","0347 052","City","MCC-owned VBN","MCC-owned VBN","West IIA/WNADA"
"322 S WOODYEAR ST","0281 012","Private","In Rem Eligible VBN","In Rem Eligible VBN","Southwest Partnership IIA"
"640 N CARROLLTON AVE","0113 021","Private","VBNs with open permits for increment","Tranche Zero permits expired","Harlem Park"
"1204 MYRTLE AVE","0411 003","City","ARPA Acquisition","ARPA Acquisition","West IIA/WNADA"
"703 W LANVALE ST","0411 012","City","In Rem Eligible VBN","In Rem Eligible VBN","West IIA/WNADA"
"538 N CARROLLTON AVE","0126 019","Private","In Rem Eligible VBN","In Rem Eligible VBN","Harlem Park"
"1203 ARGYLE AVE","0413 042","Private","VBNs with open permits for increment","VBNs with open permits for increment","West IIA/WNADA"
"1316 DIVISION ST","0414 035","Private","ARPA Acquisition","ARPA Acquisition","West IIA/WNADA"
"1318 DIVISION ST","0414 036","Private","VBNs with open permits for increment","Tranche Zero permits expired","West IIA/WNADA"
"1232 W LANVALE ST","0090 035","Private","Other VBN Acquisition on Priority Block","Other VBN Acquisition on Priority Block","Harlem Park"
"1230 W LANVALE ST","0090 036","Private","Other VBN Acquisition on Priority Block","Other VBN Acquisition on Priority Block","Harlem Park"
"1228 W LANVALE ST","0090 037","Private","Other VBN Acquisition on Priority Block","Other VBN Acquisition on Priority Block","Harlem Park"
"1226 W LANVALE ST","0090 038","Private","Other VBN Acquisition on Priority Block","Other VBN Acquisition on Priority Block","Harlem Park"
"1603 W MULBERRY ST","0150 017","Private","VBNs with open permits for increment","Tranche Zero permits expired","Southwest Partnership IIA"
"1605 W MULBERRY ST","0150 018","Private","VBNs with open permits for increment","VBNs with open permits for increment","Southwest Partnership IIA"
"1607 W MULBERRY ST","0150 019","Private","VBNs with open permits for increment","Tranche Zero permits expired","Southwest Partnership IIA"
"1609 W MULBERRY ST","0150 020","City","MCC-owned VBN","MCC-owned VBN","Southwest Partnership IIA"
"1627 W MULBERRY ST","0150 029","Private","VBNs with open permits for increment","VBNs with open permits for increment","Southwest Partnership IIA"
"1310 MYRTLE AVE","0392 006","City","MCC-owned VBN","MCC-owned VBN","West IIA/WNADA"
"1312 MYRTLE AVE","0392 007","Private","In Rem Eligible VBN","In Rem Eligible VBN","West IIA/WNADA"
"1316 MYRTLE AVE","0392 009","City","MCC-owned VBN","MCC-owned VBN","West IIA/WNADA"
"1318 MYRTLE AVE","0392 010","Private","In Rem Eligible VBN","In Rem Eligible VBN","West IIA/WNADA"
"1320 MYRTLE AVE","0392 011","City","MCC-owned VBN","MCC-owned VBN","West IIA/WNADA"
"1322 MYRTLE AVE","0392 012","Private","In Rem Eligible VBN","In Rem Eligible VBN","West IIA/WNADA"
"1324 MYRTLE AVE","0392 013","City","MCC-owned VBN","MCC-owned VBN","West IIA/WNADA"
"1332 MYRTLE AVE","0392 017","City","MCC-owned VBN","MCC-owned VBN","West IIA/WNADA"
"762 DOLPHIN ST","0411 041","City","MCC-owned VBN","MCC-owned VBN","West IIA/WNADA"
"760 DOLPHIN ST","0411 042","Private","VBNs with open permits for increment","VBNs with open permits for increment","West IIA/WNADA"
"752 DOLPHIN ST","0411 046","Private","VBNs with open permits for increment","Tranche Zero permits expired","West IIA/WNADA"
"722 DOLPHIN ST","0411 061","Private","VBNs with open permits for increment","Tranche Zero permits expired","West IIA/WNADA"
"1215 MYRTLE AVE","0412 038","Private","In Rem Eligible VBN","In Rem Eligible VBN","West IIA/WNADA"
"1207 MYRTLE AVE","0412 042","Private","VBNs with open permits for increment","VBNs with open permits for increment","West IIA/WNADA"
"1328 DIVISION ST","0414 041","Private","VBNs with open permits for increment","VBNs with open permits for increment","West IIA/WNADA"
"1330 DIVISION ST","0414 042","Private","VBNs with open permits for increment","VBNs with open permits for increment","West IIA/WNADA"
"1334 DIVISION ST","0414 044","Private","ARPA Acquisition","ARPA Acquisition","West IIA/WNADA"
"1338 DIVISION ST","0414 046","City","In Rem Eligible VBN","In Rem Eligible VBN","West IIA/WNADA"
"1344 DIVISION ST","0414 049","Private","VBNs with open permits for increment","VBNs with open permits for increment","West IIA/WNADA"
"603 PITCHER ST","0360 028","City","MCC-owned VBN","MCC-owned VBN","West IIA/WNADA"
"601 PITCHER ST","0360 029","City","MCC-owned VBN","MCC-owned VBN","West IIA/WNADA"
"1245 W LOMBARD ST","0249 033","Private","VBNs with open permits for increment","Tranche Zero permits expired","Southwest Partnership IIA"
"701 DOLPHIN ST","0430 001","Private","VBNs with open permits for increment","VBNs with open permits for increment","West IIA/WNADA"
"707 DOLPHIN ST","0430 004","Private","VBNs with open permits for increment","Tranche Zero permits expired","West IIA/WNADA"
"731 DOLPHIN ST","0430 016","Private","VBNs with open permits for increment","Tranche Zero permits expired","West IIA/WNADA"
"735 DOLPHIN ST","0430 018","Private","VBNs with open permits for increment","Tranche Zero permits expired","West IIA/WNADA"
"743 DOLPHIN ST","0430 022","Private","Other VBN Acquisition on Priority Block","Other VBN Acquisition on Priority Block","West IIA/WNADA"
"747 DOLPHIN ST","0430 024","City","MCC-owned VBN","MCC-owned VBN","West IIA/WNADA"
"749 DOLPHIN ST","0430 025","Private","Other VBN Acquisition on Priority Block","Other VBN Acquisition on Priority Block","West IIA/WNADA"
"114 S FULTON AVE","0243 059","Private","In Rem Eligible VBN","In Rem Eligible VBN","Carrollton Ridge"
"112 S FULTON AVE","0243 060","Private","In Rem Eligible VBN","In Rem Eligible VBN","Carrollton Ridge"
"810 W LANVALE ST","0392 053","Private","VBNs with open permits for increment","VBNs with open permits for increment","West IIA/WNADA"
"806 W LANVALE ST","0392 055","Private","VBNs with open permits for increment","Tranche Zero permits expired","West IIA/WNADA"
"804 W LANVALE ST","0392 056","Private","VBNs with open permits for increment","VBNs with open permits for increment","West IIA/WNADA"
"802 W LANVALE ST","0392 057","Private","VBNs with open permits for increment","Tranche Zero permits expired","West IIA/WNADA"
"1319 MYRTLE AVE","0393 047","City","MCC-owned VBN","MCC-owned VBN","West IIA/WNADA"
"1311 MYRTLE AVE","0393 051","City","MCC-owned VBN","MCC-owned VBN","West IIA/WNADA"
"1309 MYRTLE AVE","0393 052","City","MCC-owned VBN","MCC-owned VBN","West IIA/WNADA"
"1307 MYRTLE AVE","0393 053","City","MCC-owned VBN","MCC-owned VBN","West IIA/WNADA"
"1305 MYRTLE AVE","0393 054","City","MCC-owned VBN","MCC-owned VBN","West IIA/WNADA"
"707 MURA ST","1155 073","Private","VBNs with open permits for increment","VBNs with open permits for increment","Johnston Square IIA"
"711 MURA ST","1155 075","Private","VBNs with open permits for increment","VBNs with open permits for increment","Johnston Square IIA"
"719 MURA ST","1155 079","City","MCC-owned VBN","MCC-owned VBN","Johnston Square IIA"
"721 MURA ST","1155 080","Private","Vacant Buildings Necessary for Development Project","Vacant Buildings Necessary for Development Project","Johnston Square IIA"
"730 MURA ST","1155 087","Private","MCC-owned VBN","MCC-owned VBN","Johnston Square IIA"
"726 MURA ST","1155 089","City","MCC-owned VBN","MCC-owned VBN","Johnston Square IIA"
"722 MURA ST","1155 091","City","Vacant Buildings Necessary for Development Project","Vacant Buildings Necessary for Development Project","Johnston Square IIA"
"718 MURA ST","1155 093","City","Vacant Buildings Necessary for Development Project","Vacant Buildings Necessary for Development Project","Johnston Square IIA"
"714 MURA ST","1155 095","City","Vacant Buildings Necessary for Development Project","Vacant Buildings Necessary for Development Project","Johnston Square IIA"
"833 EDMONDSON AVE","0469 016","Private","VBNs with open permits for increment","VBNs with open permits for increment","West IIA/WNADA"
"1021 BRENTWOOD AVE","1180 025","City","MCC-owned VBN","MCC-owned VBN","Johnston Square IIA"
"1019 BRENTWOOD AVE","1180 026","City","MCC-owned VBN","MCC-owned VBN","Johnston Square IIA"
"1329 ARGYLE AVE","0394 041","City","MCC-owned VBN","MCC-owned VBN","West IIA/WNADA"
"1315 ARGYLE AVE","0394 048","Private","In Rem Eligible VBN","In Rem Eligible VBN","West IIA/WNADA"
"1313 ARGYLE AVE","0394 049","Private","2023 Rehabs/Sales for First Increment","Former rehabbed VBN with new VBN","West IIA/WNADA"
"1309 ARGYLE AVE","0394 051","City","MCC-owned VBN","MCC-owned VBN","West IIA/WNADA"
"1227 VALLEY ST","1157 051","City","MCC-owned VBN","MCC-owned VBN","Johnston Square IIA"
"1221 VALLEY ST","1157 054","City","MCC-owned VBN","MCC-owned VBN","Johnston Square IIA"
"1219 VALLEY ST","1157 055","City","MCC-owned VBN","MCC-owned VBN","Johnston Square IIA"
"1215 VALLEY ST","1157 057","City","MCC-owned VBN","MCC-owned VBN","Johnston Square IIA"
"1209 VALLEY ST","1157 060","City","MCC-owned VBN","MCC-owned VBN","Johnston Square IIA"
"1425 MYRTLE AVE","0373 038","Private","VBNs with open permits for increment","Tranche Zero permits expired","West IIA/WNADA"
"1417 MYRTLE AVE","0373 042","Private","VBNs with open permits for increment","Tranche Zero permits expired","West IIA/WNADA"
"1407 MYRTLE AVE","0373 047","City","MCC-owned VBN","MCC-owned VBN","West IIA/WNADA"
"1405 MYRTLE AVE","0373 048","City","MCC-owned VBN","MCC-owned VBN","West IIA/WNADA"
"1213 GREENMOUNT AVE","1155 006","Private","Vacant Buildings Necessary for Development Project","Vacant Buildings Necessary for Development Project","Johnston Square IIA"
"705 E PRESTON ST","1155 017","City","Vacant Buildings Necessary for Development Project","Vacant Buildings Necessary for Development Project","Johnston Square IIA"
"710 MURA ST","1155 097","City","Vacant Buildings Necessary for Development Project","Vacant Buildings Necessary for Development Project","Johnston Square IIA"
"702 MURA ST","1155 101","City","Vacant Buildings Necessary for Development Project","Vacant Buildings Necessary for Development Project","Johnston Square IIA"
"912 E BIDDLE ST","1157 007","City","Vacant Buildings Necessary for Development Project","Vacant Buildings Necessary for Development Project","Johnston Square IIA"
"936 E BIDDLE ST","1157 019","City","Vacant Buildings Necessary for Development Project","Vacant Buildings Necessary for Development Project","Johnston Square IIA"
"1406 MYRTLE AVE","0372 002","Private","VBNs with open permits for increment","Tranche Zero permits expired","West IIA/WNADA"
"1311 DIVISION ST","0396 040","Private","VBNs with open permits for increment","VBNs with open permits for increment","West IIA/WNADA"
"1301 DIVISION ST","0396 045","Private","VBNs with open permits for increment","VBNs with open permits for increment","West IIA/WNADA"
"521 N DECKER AVE","1661 045","Private","VBNs with open permits for increment","VBNs with open permits for increment","Ellwood Park/Monument Strategic Blocks"
"625 N ELLWOOD AVE","1647 001L","Private","In Rem Eligible VBN","In Rem Eligible VBN",""
"1103 GREENMOUNT AVE","1169 058","Private","Vacant Buildings Necessary for Development Project","Vacant Buildings Necessary for Development Project","Johnston Square IIA"
"1827 W SARATOGA ST","0163 046","Private","In Rem Eligible VBN","In Rem Eligible VBN","Southwest Partnership IIA"
"238 N FULTON AVE","0163 067","Private","In Rem Eligible VBN","In Rem Eligible VBN","Southwest Partnership IIA"
"220 N FULTON AVE","0163 073","Private","In Rem Eligible VBN","In Rem Eligible VBN","Southwest Partnership IIA"
"216 N FULTON AVE","0163 075","Private","In Rem Eligible VBN","In Rem Eligible VBN","Southwest Partnership IIA"
"204 N FULTON AVE","0163 081","Private","In Rem Eligible VBN","In Rem Eligible VBN","Southwest Partnership IIA"
"202 N FULTON AVE","0163 082","Private","In Rem Eligible VBN","In Rem Eligible VBN","Southwest Partnership IIA"
"224 S CALHOUN ST","0264 050","Private","VBNs with open permits for increment","Tranche Zero permits expired","Southwest Partnership IIA"
"1315 W PRATT ST","0265 008","City","In Rem Eligible VBN","In Rem Eligible VBN","Southwest Partnership IIA"
"1321 W PRATT ST","0265 011","Private","VBNs with open permits for increment","Tranche Zero permits expired","Southwest Partnership IIA"
"1323 W PRATT ST","0265 012","Private","VBNs with open permits for increment","VBNs with open permits for increment","Southwest Partnership IIA"
"1329 W PRATT ST","0265 015","City","In Rem Eligible VBN","In Rem Eligible VBN","Southwest Partnership IIA"
"1331 W PRATT ST","0265 016","City","In Rem Eligible VBN","In Rem Eligible VBN","Southwest Partnership IIA"
"1333 W PRATT ST","0265 017","City","In Rem Eligible VBN","In Rem Eligible VBN","Southwest Partnership IIA"
"1224 W LOMBARD ST","0233 035","Private","In Rem Eligible VBN","In Rem Eligible VBN","Southwest Partnership IIA"
"211 S CALHOUN ST","0265 025","Private","VBNs with open permits for increment","Tranche Zero permits expired","Southwest Partnership IIA"
"237 S CALHOUN ST","0265 038","Private","In Rem Eligible VBN","In Rem Eligible VBN","Southwest Partnership IIA"
"1326 MCHENRY ST","0265 049","Private","VBNs with open permits for increment","Tranche Zero permits expired","Southwest Partnership IIA"
"710 N CARROLLTON AVE","0102 006","Private","VBNs with open permits for increment","VBNs with open permits for increment","Harlem Park"
"1211 W LANVALE ST","0102 024","Private","Other VBN Acquisition on Priority Block","Other VBN Acquisition on Priority Block","Harlem Park"
"1215 W LANVALE ST","0102 026","Private","Other VBN Acquisition on Priority Block","Other VBN Acquisition on Priority Block","Harlem Park"
"535 N CARROLLTON AVE","0127 031","Private","VBNs with open permits for increment","Tranche Zero permits expired","Harlem Park"
"1003 E BIDDLE ST","1172 041","City","MCC-owned VBN","MCC-owned VBN","Johnston Square IIA"
"1005 E BIDDLE ST","1172 042","City","MCC-owned VBN","MCC-owned VBN","Johnston Square IIA"
"1025 E BIDDLE ST","1172 052","City","MCC-owned VBN","MCC-owned VBN","Johnston Square IIA"
