"FULLADDR","BLOCKLOT","Ownership","Orig_Criteria","Current_Criteria","VRPA"
"2773 W NORTH AVE","2402 007","Private","VBNs with open permits for increment","VBNs with open permits for increment","WNADA"
"2737 W NORTH AVE","2402 025","Private","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"1822 ASHBURTON ST","2402 027","Private","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"1816 ASHBURTON ST","2402 030","Private","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"1814 ASHBURTON ST","2402 031","Private","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"2805 W NORTH AVE","2406 003","City","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"2807 W NORTH AVE","2406 004","City","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"2809 W NORTH AVE","2406 005","City","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"2813 W NORTH AVE","2406 007","City","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"2817 W NORTH AVE","2406 009","City","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"2819 W NORTH AVE","2406 010","City","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"2823 W NORTH AVE","2406 012","City","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"2831 W NORTH AVE","2406 016","City","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"2833 W NORTH AVE","2406 017","City","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"2837 W NORTH AVE","2406 019","City","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"2839 W NORTH AVE","2406 020","City","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"2845 W NORTH AVE","2406 023","Private","VBNs with open permits for increment","Tranche Zero permits expired","WNADA"
"2859 W NORTH AVE","2406 030","City","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"2727 W NORTH AVE","2401A014","Private","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"2910 W NORTH AVE","3004 004","Private","VBNs with open permits for increment","VBNs with open permits for increment","WNADA"
"2914 W NORTH AVE","3004 006","City","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"2918 W NORTH AVE","3004 008","City","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"2926 W NORTH AVE","3004 012","City","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"2930 W NORTH AVE","3004 014","Private","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"2938 W NORTH AVE","3004 018","City","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"2940 W NORTH AVE","3004 019","City","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"2944 W NORTH AVE","3004 021","City","MCC-owned VBN","MCC-owned VBN","WNADA"
"2952 W NORTH AVE","3004 025","Private","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"2958 W NORTH AVE","3004 028","Private","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"2042 RUXTON AVE","3214 071","Private","VBNs with open permits for increment","Tranche Zero permits expired","WNADA"
"2140 WALBROOK AVE","3212 021","Private","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"2142 WALBROOK AVE","3212 022","Private","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"2007 N SMALLWOOD ST","3212 027","City","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"2023 N SMALLWOOD ST","3212 035","City","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"2025 N SMALLWOOD ST","3212 036","Private","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"2105 CLIFTON AVE","3212 048","Private","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"2026 N PULASKI ST","3212 052","Private","VBNs with open permits for increment","VBNs with open permits for increment","WNADA"
"2020 N PULASKI ST","3212 055","City","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"2103 RIDGEHILL AVE","3212 067","City","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"2105 RIDGEHILL AVE","3212 068","City","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"2107 RIDGEHILL AVE","3212 069","City","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"2113 RIDGEHILL AVE","3212 072","City","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"2115 RIDGEHILL AVE","3212 073","City","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"2117 RIDGEHILL AVE","3212 074","Private","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"2119 RIDGEHILL AVE","3212 075","City","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"2127 RIDGEHILL AVE","3212 079","Private","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"2122 RIDGEHILL AVE","3212 081","City","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"2112 RIDGEHILL AVE","3212 086","City","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"2106 RIDGEHILL AVE","3212 089","City","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"2102 RIDGEHILL AVE","3212 091","City","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"2100 RIDGEHILL AVE","3212 092","Private","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"2001 N BENTALOU ST","3213 017","Private","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"2045 RUXTON AVE","3214 047","Private","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"1912 N PULASKI ST","3205 007","Private","VBNs with open permits for increment","Tranche Zero permits expired","WNADA"
"2802 W NORTH AVE","3005 002","City","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"2818 W NORTH AVE","3005 007","City","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"2848 W NORTH AVE","3005 021","City","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"2850 W NORTH AVE","3005 022","City","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"2017 N BENTALOU ST","3213 025","Private","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"2019 N BENTALOU ST","3213 026","Private","VBNs with open permits for increment","Tranche Zero permits expired","WNADA"
"2117 WALBROOK AVE","3205 017","Private","VBNs with open permits for increment","Tranche Zero permits expired","WNADA"
"2139 WALBROOK AVE","3205 028","City","MCC-owned VBN","MCC-owned VBN","WNADA"
"2045 N BENTALOU ST","3213 039","Private","VBNs with open permits for increment","Tranche Zero permits expired","WNADA"
"2102 CLIFTON AVE","3260 002","Private","VBNs with open permits for increment","VBNs with open permits for increment","WNADA"
"2108 N PULASKI ST","3260 049","Private","In Rem Eligible VBN","In Rem Eligible VBN","WNADA"
"2120 N SMALLWOOD ST","3261A012","Private","VBNs with open permits for increment","Tranche Zero permits expired","WNADA"
"2852 HARFORD ROAD","3936 001","Private","ARPA Acquisition","ARPA Acquisition","Coldstream Homestead Montebello IIA"
"2876 HARFORD ROAD","3937 003","City","MCC-owned VBN","MCC-owned VBN","Coldstream Homestead Montebello IIA"
"2866 HARFORD ROAD","3937 008","City","ARPA Acquisition","ARPA Acquisition","Coldstream Homestead Montebello IIA"
"2862 HARFORD ROAD","3937 010","Private","ARPA Acquisition","ARPA Acquisition","Coldstream Homestead Montebello IIA"
"2854 HARFORD ROAD","3937 014","City","Vacant Buildings Necessary for Development Project","Vacant Buildings Necessary for Development Project","Coldstream Homestead Montebello IIA"
"2791 THE ALAMEDA ","3935 060","City","ARPA Acquisition","ARPA Acquisition","Coldstream Homestead Montebello IIA"
"645 BARTLETT AVE","4041 047","Private","Vacant Buildings Necessary for Development Project","Vacant Buildings Necessary for Development Project","East Baltimore Midway IIA"
"1917 HOMEWOOD AVE","4002 034","Private","In Rem Eligible VBN","In Rem Eligible VBN","East Baltimore Midway IIA"
"1915 HOMEWOOD AVE","4002 035","Private","In Rem Eligible VBN","In Rem Eligible VBN","East Baltimore Midway IIA"
"1913 HOMEWOOD AVE","4002 036","Private","In Rem Eligible VBN","In Rem Eligible VBN","East Baltimore Midway IIA"
"2713 THE ALAMEDA ","3935 021","Private","ARPA Acquisition","ARPA Acquisition","Coldstream Homestead Montebello IIA"
"2725 THE ALAMEDA ","3935 027","City","ARPA Acquisition","ARPA Acquisition","Coldstream Homestead Montebello IIA"
"2789 THE ALAMEDA ","3935 059","Private","In Rem Eligible VBN","In Rem Eligible VBN","Coldstream Homestead Montebello IIA"
"1415 DARLEY AVE","4163 013","City","In Rem Eligible VBN","In Rem Eligible VBN","Darley Park"
"1417 DARLEY AVE","4163 014","City","MCC-owned VBN","MCC-owned VBN","Darley Park"
"1526 GORSUCH AVE","4131 008","Private","VBNs with open permits for increment","VBNs with open permits for increment","Coldstream Homestead Montebello IIA"
"1553 CARSWELL ST","4131 028","Private","In Rem Eligible VBN","In Rem Eligible VBN","Coldstream Homestead Montebello IIA"
"1549 CARSWELL ST","4131 029A","Private","In Rem Eligible VBN","In Rem Eligible VBN","Coldstream Homestead Montebello IIA"
"1547 CARSWELL ST","4131 029B","Private","In Rem Eligible VBN","In Rem Eligible VBN","Coldstream Homestead Montebello IIA"
"1519 CARSWELL ST","4131 039B","Private","In Rem Eligible VBN","In Rem Eligible VBN","Coldstream Homestead Montebello IIA"
"1502 CARSWELL ST","4132 001A","Private","In Rem Eligible VBN","In Rem Eligible VBN","Coldstream Homestead Montebello IIA"
"1508 CARSWELL ST","4132 002","Private","In Rem Eligible VBN","In Rem Eligible VBN","Coldstream Homestead Montebello IIA"
"1554 CARSWELL ST","4132 020","City","In Rem Eligible VBN","In Rem Eligible VBN","Coldstream Homestead Montebello IIA"
"1556 CARSWELL ST","4132 021","Private","In Rem Eligible VBN","In Rem Eligible VBN","Coldstream Homestead Montebello IIA"
"1560 CARSWELL ST","4132 023","Private","In Rem Eligible VBN","In Rem Eligible VBN","Coldstream Homestead Montebello IIA"
"1414 DARLEY AVE","4164 008","City","In Rem Eligible VBN","In Rem Eligible VBN","Darley Park"
"2793 THE ALAMEDA ","3935 062","Private","ARPA Acquisition","ARPA Acquisition","Coldstream Homestead Montebello IIA"
"1621 CLIFTVIEW AVE","4164A011","Private","VBNs with open permits for increment","Tranche Zero permits expired","Darley Park"
"1725 CLIFTVIEW AVE","4164B052","City","MCC-owned VBN","MCC-owned VBN","Darley Park"
"1727 CLIFTVIEW AVE","4164B053","City","MCC-owned VBN","MCC-owned VBN","Darley Park"
"619 GUTMAN AVE","4041A036","Private","Vacant Buildings Necessary for Development Project","Vacant Buildings Necessary for Development Project","East Baltimore Midway IIA"
"625 GUTMAN AVE","4041A039","Private","Vacant Buildings Necessary for Development Project","Vacant Buildings Necessary for Development Project","East Baltimore Midway IIA"
"1517 HOMESTEAD ST","4108 003","Private","VBNs with open permits for increment","Tranche Zero permits expired","Coldstream Homestead Montebello IIA"
"1521 HOMESTEAD ST","4108 004","Private","In Rem Eligible VBN","In Rem Eligible VBN","Coldstream Homestead Montebello IIA"
"1545 HOMESTEAD ST","4108 010","Private","VBNs with open permits for increment","VBNs with open permits for increment","Coldstream Homestead Montebello IIA"
"1547 HOMESTEAD ST","4108 011","Private","In Rem Eligible VBN","In Rem Eligible VBN","Coldstream Homestead Montebello IIA"
"1534 HOMESTEAD ST","4108 013","Private","VBNs with open permits for increment","VBNs with open permits for increment","Coldstream Homestead Montebello IIA"
"1524 HOMESTEAD ST","4108 018","Private","In Rem Eligible VBN","In Rem Eligible VBN","Coldstream Homestead Montebello IIA"
"720 E 21ST ST","4020 011","City","In Rem Eligible VBN","In Rem Eligible VBN","East Baltimore Midway IIA"
"1680 DARLEY AVE","4164A083","Private","VBNs with open permits for increment","Tranche Zero permits expired","Darley Park"
"1682 DARLEY AVE","4164A084","Private","In Rem Eligible VBN","In Rem Eligible VBN","Darley Park"
"1686 DARLEY AVE","4164A086","City","In Rem Eligible VBN","In Rem Eligible VBN","Darley Park"
"1690 DARLEY AVE","4164A088","City","In Rem Eligible VBN","In Rem Eligible VBN","Darley Park"
"5316 MAPLE AVE","4536A121","Private","Vacant Buildings Necessary for Development Project","Vacant Buildings Necessary for Development Project","Park Heights IIA"
"5314 MAPLE AVE","4536A122","Private","In Rem Eligible VBN","In Rem Eligible VBN","Park Heights IIA"
"5310 MAPLE AVE","4536A124","Private","Vacant Buildings Necessary for Development Project","Vacant Buildings Necessary for Development Project","Park Heights IIA"
"5306 MAPLE AVE","4536A126","Private","In Rem Eligible VBN","In Rem Eligible VBN","Park Heights IIA"
"5300 MAPLE AVE","4536A129","Private","In Rem Eligible VBN","In Rem Eligible VBN","Park Heights IIA"
"1700 NORMAL AVE","4166C026","Private","VBNs with open permits for increment","Tranche Zero permits expired","Darley Park"
"1702 NORMAL AVE","4166C027","Private","VBNs with open permits for increment","Tranche Zero permits expired","Darley Park"
"1724 NORMAL AVE","4166C038","Private","VBNs with open permits for increment","Tranche Zero permits expired","Darley Park"
"1726 NORMAL AVE","4166C039","Private","VBNs with open permits for increment","VBNs with open permits for increment","Darley Park"
"1504 CLIFTVIEW AVE","4165 017","Private","VBNs with open permits for increment","Tranche Zero permits expired","Darley Park"
"1600 CLIFTVIEW AVE","4165 024","Private","VBNs with open permits for increment","VBNs with open permits for increment","Darley Park"
"1618 CLIFTVIEW AVE","4165 033","Private","MCC-owned VBN","MCC-owned VBN","Darley Park"
"1666 CLIFTVIEW AVE","4165 057","Private","VBNs with open permits for increment","VBNs with open permits for increment","Darley Park"
"1643 NORMAL AVE","4165 081","City","In Rem Eligible VBN","In Rem Eligible VBN","Darley Park"
"1773 DARLEY AVE","4163B035","Private","VBNs with open permits for increment","VBNs with open permits for increment","Darley Park"
"1404 DARLEY AVE","4164 003","Private","MCC-owned VBN","MCC-owned VBN","Darley Park"
"504 E 23RD ST","4024 055","Private","In Rem Eligible VBN","In Rem Eligible VBN","East Baltimore Midway IIA"
"2118 N WOLFE ST","4164B031","Private","In Rem Eligible VBN","In Rem Eligible VBN","Darley Park"
"2122 N WOLFE ST","4164B033","Private","In Rem Eligible VBN","In Rem Eligible VBN","Darley Park"
"1713 CLIFTVIEW AVE","4164B046","City","In Rem Eligible VBN","In Rem Eligible VBN","Darley Park"
"1618 NORMAL AVE","4166 046","Private","In Rem Eligible VBN","In Rem Eligible VBN","Darley Park"
"1628 NORMAL AVE","4166 051","Private","VBNs with open permits for increment","VBNs with open permits for increment","Darley Park"
"1644 NORMAL AVE","4166 059","Private","VBNs with open permits for increment","Tranche Zero permits expired","Darley Park"
"1648 NORMAL AVE","4166 061","Private","VBNs with open permits for increment","VBNs with open permits for increment","Darley Park"
"1630 E 25TH ST","4166A016","Private","VBNs with open permits for increment","Tranche Zero permits expired","Darley Park"
"1648 E 25TH ST","4166A025","City","MCC-owned VBN","MCC-owned VBN","Darley Park"
"1656 E 25TH ST","4166A029","Private","VBNs with open permits for increment","VBNs with open permits for increment","Darley Park"
"1657 DARLEY AVE","4163A029","City","In Rem Eligible VBN","In Rem Eligible VBN","Darley Park"
"1693 DARLEY AVE","4163A047","Private","VBNs with open permits for increment","Tranche Zero permits expired","Darley Park"
"3310 W BELVEDERE AVE","4552 016","Private","In Rem Eligible VBN","In Rem Eligible VBN","Park Heights IIA"
"3353 W BELVEDERE AVE","4580 020","City","MCC-owned VBN","MCC-owned VBN","Park Heights IIA"
"3355 W BELVEDERE AVE","4580 021","Private","VBNs with open permits for increment","VBNs with open permits for increment","Park Heights IIA"
"3027 W BELVEDERE AVE","4586 018","Private","In Rem Eligible VBN","In Rem Eligible VBN","Park Heights IIA"
"3604 W BELVEDERE AVE","4544C036","City","MCC-owned VBN","MCC-owned VBN","Park Heights IIA"
"3610 W BELVEDERE AVE","4544C039","Private","In Rem Eligible VBN","In Rem Eligible VBN","Park Heights IIA"
"3708 W BELVEDERE AVE","4544D029","Private","In Rem Eligible VBN","In Rem Eligible VBN","Park Heights IIA"
"5118 QUEENSBERRY AVE","4586 045","Private","In Rem Eligible VBN","In Rem Eligible VBN","Park Heights IIA"
"5017 PALMER AVE","4587 023","Private","In Rem Eligible VBN","In Rem Eligible VBN","Park Heights IIA"
"3067 SPAULDING AVE","4587 029","Private","Vacant Buildings Necessary for Development Project","Vacant Buildings Necessary for Development Project","Park Heights IIA"
"3065 SPAULDING AVE","4587 030","Private","Vacant Buildings Necessary for Development Project","Vacant Buildings Necessary for Development Project","Park Heights IIA"
"3045 SPAULDING AVE","4587 040","Private","In Rem Eligible VBN","In Rem Eligible VBN","Park Heights IIA"
"5115 CHALGROVE AVE","4589 008","Private","In Rem Eligible VBN","In Rem Eligible VBN","Park Heights IIA"
"5100 PEMBRIDGE AVE","4589 019","Private","VBNs with open permits for increment","Tranche Zero permits expired","Park Heights IIA"
"3703 W BELVEDERE AVE","4575 019","City","ARPA Acquisition","ARPA Acquisition","Park Heights IIA"
"2106 N WOLFE ST","4158 052","Private","VBNs with open permits for increment","Tranche Zero permits expired","Darley Park"
"2137 HARFORD ROAD","4163 005","City","In Rem Eligible VBN","In Rem Eligible VBN","Darley Park"
"5037 QUEENSBERRY AVE","4594 019","Private","VBNs with open permits for increment","VBNs with open permits for increment","Park Heights IIA"
"5025 QUEENSBERRY AVE","4594 013","Private","In Rem Eligible VBN","In Rem Eligible VBN","Park Heights IIA"
"3137 MCELDERRY ST","6155 018","Private","VBNs with open permits for increment","VBNs with open permits for increment","Ellwood Park/Monument Strategic Blocks"
"1604 HAZEL ST","7225 019","Private","VBNs with open permits for increment","VBNs with open permits for increment","Curtis Bay"
"1623 LOCUST ST","7225 031","Private","VBNs with open permits for increment","Tranche Zero permits expired","Curtis Bay"
"4204 MORRISON CT","7228 011","Private","Vacant Buildings Necessary for Development Project","Vacant Buildings Necessary for Development Project","Curtis Bay"
"4202 MORRISON CT","7228 012","Private","VBNs with open permits for increment","Tranche Zero permits expired","Curtis Bay"
"4200 MORRISON CT","7228 013","Private","VBNs with open permits for increment","Tranche Zero permits expired","Curtis Bay"
"4105 MORRISON CT","7229 039","City","In Rem Eligible VBN","In Rem Eligible VBN","Curtis Bay"
"4114 MORRISON CT","7229 053","Private","VBNs with open permits for increment","Tranche Zero permits expired","Curtis Bay"
"429 N EAST AVE","6159 044","Private","VBNs with open permits for increment","VBNs with open permits for increment","Ellwood Park/Monument Strategic Blocks"
"1626 PLUM ST","7261 030","City","In Rem Eligible VBN","In Rem Eligible VBN","Curtis Bay"
"4025 PENNINGTON AVE","7261 043","Private","In Rem Eligible VBN","In Rem Eligible VBN","Curtis Bay"
"2233 SIDNEY AVE","7441A002","Private","VBNs with open permits for increment","Tranche Zero permits expired","Westport"
"2224 ANNAPOLIS ROAD","7443 011","Private","VBNs with open permits for increment","Tranche Zero permits expired","Westport"
"2228 ANNAPOLIS ROAD","7443 013","Private","VBNs with open permits for increment","Tranche Zero permits expired","Westport"
"2311 ANNAPOLIS ROAD","7446 006","Private","VBNs with open permits for increment","Tranche Zero permits expired","Westport"
